Item;Código de item;Nome do produto;Descrição química;Grau de Etoxilação;Grupo de Família;Família de Produtos;Peso Molecular;Data inicial do estudo;Tipo de estudo;Ensaios físico-químicos;ensaio_normalizado;categoria_ensaio;is_quantitativo;Método;Especificação;spec_tipo;spec_min;spec_max;periodo;valor;is_menor_que;periodo_dias
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;6m;217.2;False;180
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;9m;217.89;False;270
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;12m;217.57;False;365
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;18m;216.43;False;545
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;24m;224.53;False;730
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;30m;221.57;False;912
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de hidroxila - mgKOH/g;Indice de Hidroxila;Fisico-Quimico;True;MA - 525;214 - 225;RANGE;214.0;225.0;36m;218.34;False;1095
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de iodo I2/100g;Indice de Iodo;Composicao;True;MA - 1130;Máx. 1,0;MAXIMO;;1.0;0 dia;0.07;False;0
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de iodo I2/100g;Indice de Iodo;Composicao;True;MA - 1130;Máx. 1,0;MAXIMO;;1.0;0 dia;0.07;False;0
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de iodo I2/100g;Indice de Iodo;Composicao;True;MA - 1130;Máx. 1,0;MAXIMO;;1.0;1 sem;0.07;False;7
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de iodo I2/100g;Indice de Iodo;Composicao;True;MA - 1130;Máx. 1,0;MAXIMO;;1.0;2 sem;0.09;False;14
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de iodo I2/100g;Indice de Iodo;Composicao;True;MA - 1130;Máx. 1,0;MAXIMO;;1.0;1m;0.09;False;30
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de iodo I2/100g;Indice de Iodo;Composicao;True;MA - 1130;Máx. 1,0;MAXIMO;;1.0;2m;0.09;False;60
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de iodo I2/100g;Indice de Iodo;Composicao;True;MA - 1130;Máx. 1,0;MAXIMO;;1.0;3m;0.07;False;90
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de iodo I2/100g;Indice de Iodo;Composicao;True;MA - 1130;Máx. 1,0;MAXIMO;;1.0;3m;0.08;False;90
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de iodo I2/100g;Indice de Iodo;Composicao;True;MA - 1130;Máx. 1,0;MAXIMO;;1.0;4m;0.07;False;120
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de iodo I2/100g;Indice de Iodo;Composicao;True;MA - 1130;Máx. 1,0;MAXIMO;;1.0;5m;0.16;False;150
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Acelerado;Índice de iodo I2/100g;Indice de Iodo;Composicao;True;MA - 1130;Máx. 1,0;MAXIMO;;1.0;6m;0.05;False;180
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de iodo I2/100g;Indice de Iodo;Composicao;True;MA - 1130;Máx. 1,0;MAXIMO;;1.0;6m;0.04;False;180
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de iodo I2/100g;Indice de Iodo;Composicao;True;MA - 1130;Máx. 1,0;MAXIMO;;1.0;9m;0.05;False;270
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de iodo I2/100g;Indice de Iodo;Composicao;True;MA - 1130;Máx. 1,0;MAXIMO;;1.0;12m;0.06;False;365
17;E83;ALKONAT C1618 50/50;Alcool ceto-estearilico;Não descrito;Alcohols and Their Derivatives;Natural fatty alcohol;256;2013-04-09;Longa duração;Índice de iodo I2/100g;Indice de Iodo;Composicao;True;MA - 1130;Máx. 1,0;MAXIMO;;1.0;18m;0.07;False;545
